country,source,data.economy.population_below_poverty_line.value,data.people.languages.date,data.people.languages.language,data.people.languages.note,data.people.languages.note_1,data.people.languages.note_2,data.people.languages.note_3,data.people.languages.overseas_departments,data.people.literacy.total_population.value,data.people.population.total
"Congo, Democratic Republic Of The",https://web.archive.org/web/20170729071439/https://www.cia.gov/library/publications/the-world-factbook/geos/cg.html,63,,"[{""name"":""French"",""note"":""official""},{""name"":""Lingala"",""note"":""a lingua franca trade language""},{""name"":""Kingwana"",""note"":""a dialect of Kiswahili or Swahili""},{""name"":""Kikongo""},{""name"":""Tshiluba""}]",,,,,,63.8,81331050
"Congo, Republic Of The",https://web.archive.org/web/20170729071440/https://www.cia.gov/library/publications/the-world-factbook/geos/cf.html,46.5,,"[{""name"":""French"",""note"":""official""},{""name"":""Lingala and Monokutuba"",""note"":""lingua franca trade languages""},{""name"":""many local languages and dialects"",""note"":""of which Kikongo is the most widespread""}]",,,,,,79.3,4852412
Cook Islands,https://web.archive.org/web/20170715160717/https://www.cia.gov/library/publications/the-world-factbook/geos/cw.html,,2011,"[{""name"":""English"",""percent"":86.4,""note"":""official""},{""name"":""Cook Islands Maori"",""percent"":76.2,""note"":""Rarotongan; official""},{""name"":""other"",""percent"":8.3}]",shares sum to more than 100% because some respondents gave more than one answer on the census,,,,,,9556
Coral Sea Islands,https://web.archive.org/web/20170702115125/https://www.cia.gov/library/publications/the-world-factbook/geos/cr.html,,,,,,,,,,
Costa Rica,https://web.archive.org/web/20170729071749/https://www.cia.gov/library/publications/the-world-factbook/geos/cs.html,21.7,,"[{""name"":""Spanish"",""note"":""official""},{""name"":""English""}]",,,,,,97.8,4872543
Cote D'Ivoire,https://web.archive.org/web/20170729071441/https://www.cia.gov/library/publications/the-world-factbook/geos/iv.html,46.3,,"[{""name"":""French"",""note"":""official""},{""name"":""native dialects of which Dioula is the most widely spoken"",""percent"":60}]",,,,,,43.1,23740424
Croatia,https://web.archive.org/web/20170729071619/https://www.cia.gov/library/publications/the-world-factbook/geos/hr.html,19.5,2011,"[{""name"":""Croatian"",""percent"":95.6,""note"":""official""},{""name"":""Serbian"",""percent"":1.2},{""name"":""other"",""percent"":3,""note"":""including Hungarian, Czech, Slovak, and Albanian""},{""name"":""unspecified"",""percent"":0.2}]",,,,,,99.3,4313707
Cuba,https://web.archive.org/web/20170729071750/https://www.cia.gov/library/publications/the-world-factbook/geos/cu.html,,,"[{""name"":""Spanish"",""note"":""official""}]",,,,,,99.8,11179995
Curacao,https://web.archive.org/web/20170715080501/https://www.cia.gov/library/publications/the-world-factbook/geos/cc.html,,,"[{""name"":""Papiamento"",""percent"":81.2,""note"":""official; a creole language that is a mixture of Portuguese, Spanish, Dutch, English, and, to a lesser extent, French, as well as elements of African languages and the language of the Arawak""},{""name"":""Dutch"",""percent"":8,""note"":""official""},{""name"":""Spanish"",""percent"":4},{""name"":""English"",""percent"":2.9,""note"":""official""},{""name"":""other"",""percent"":3.9,""note"":""2001 census""}]",,,,,,,149035
Cyprus,https://web.archive.org/web/20170729071620/https://www.cia.gov/library/publications/the-world-factbook/geos/cy.html,,2011,"[{""name"":""Greek"",""percent"":80.9,""note"":""official""},{""name"":""Turkish"",""percent"":0.2,""note"":""official""},{""name"":""English"",""percent"":4.1},{""name"":""Romanian"",""percent"":2.9},{""name"":""Russian"",""percent"":2.5},{""name"":""Bulgarian"",""percent"":2.2},{""name"":""Arabic"",""percent"":1.2},{""name"":""Filipino"",""percent"":1.1},{""name"":""other"",""percent"":4.3},{""name"":""unspecified"",""percent"":0.6}]",data represent only the government-controlled area of Cyprus,,,,,99.1,1205575
Czechia,https://web.archive.org/web/20170729071621/https://www.cia.gov/library/publications/the-world-factbook/geos/ez.html,9.7,,"[{""name"":""Czech"",""percent"":95.4,""note"":""official""},{""name"":""Slovak"",""percent"":1.6},{""name"":""other"",""percent"":3,""note"":""2011 census""}]",,,,,,99,10644842
Denmark,https://web.archive.org/web/20170729071622/https://www.cia.gov/library/publications/the-world-factbook/geos/da.html,13.4,,"[{""name"":""Danish""},{""name"":""Faroese""},{""name"":""Greenlandic"",""note"":""an Inuit dialect""},{""name"":""German"",""note"":""small minority""}]",English is the predominant second language,,,,,,5593785
Dhekelia,https://web.archive.org/web/20170716105345/https://www.cia.gov/library/publications/the-world-factbook/geos/dx.html,,,"[{""name"":""English""},{""name"":""Greek""}]",,,,,,,15700
Djibouti,https://web.archive.org/web/20170729071442/https://www.cia.gov/library/publications/the-world-factbook/geos/dj.html,23,,"[{""name"":""French"",""note"":""official""},{""name"":""Arabic"",""note"":""official""},{""name"":""Somali""},{""name"":""Afar""}]",,,,,,,846687
Dominica,https://web.archive.org/web/20170729071751/https://www.cia.gov/library/publications/the-world-factbook/geos/do.html,29,,"[{""name"":""English"",""note"":""official""},{""name"":""French patois""}]",,,,,,,73757
Dominican Republic,https://web.archive.org/web/20170729071752/https://www.cia.gov/library/publications/the-world-factbook/geos/dr.html,30.5,,"[{""name"":""Spanish"",""note"":""official""}]",,,,,,91.8,10606865
Ecuador,https://web.archive.org/web/20170729071753/https://www.cia.gov/library/publications/the-world-factbook/geos/ec.html,25.6,2010,"[{""name"":""Spanish"",""percent"":93,""note"":""Castilian; official""},{""name"":""Quechua"",""percent"":4.1},{""name"":""other indigenous"",""percent"":0.7},{""name"":""foreign"",""percent"":2.2}]",(Quechua and Shuar are official languages of intercultural relations; other indigenous languages are in official use by indigenous peoples in the areas they inhabit),,,,,94.5,16080778
Egypt,https://web.archive.org/web/20170729071706/https://www.cia.gov/library/publications/the-world-factbook/geos/eg.html,25.2,,"[{""name"":""Arabic"",""note"":""official""},{""name"":""English and French widely understood by educated classes""}]",,,,,,73.8,94666993
El Salvador,https://web.archive.org/web/20170729071754/https://www.cia.gov/library/publications/the-world-factbook/geos/es.html,34.9,,"[{""name"":""Spanish"",""note"":""official""},{""name"":""Nawat"",""note"":""among some Amerindians""}]",,,,,,88,6156670
Equatorial Guinea,https://web.archive.org/web/20170729071443/https://www.cia.gov/library/publications/the-world-factbook/geos/ek.html,44,,"[{""name"":""Spanish"",""percent"":67.6,""note"":""official""},{""name"":""other , Fang, Bubi census"",""percent"":1994,""note"":""includes French (official; ; ""}]",,,,,,95.3,759451
Eritrea,https://web.archive.org/web/20170729071444/https://www.cia.gov/library/publications/the-world-factbook/geos/er.html,50,,"[{""name"":""Tigrinya"",""note"":""official""},{""name"":""Arabic"",""note"":""official""},{""name"":""English"",""note"":""official""},{""name"":""Tigre""},{""name"":""Kunama""},{""name"":""Afar""},{""name"":""other Cushitic languages""}]",,,,,,73.8,5869869
Estonia,https://web.archive.org/web/20170729071623/https://www.cia.gov/library/publications/the-world-factbook/geos/en.html,21.3,2011,"[{""name"":""Estonian"",""percent"":68.5,""note"":""official""},{""name"":""Russian"",""percent"":29.6},{""name"":""Ukrainian"",""percent"":0.6},{""name"":""other"",""percent"":1.2},{""name"":""unspecified"",""percent"":0.1}]",,,,,,99.8,1258545
Ethiopia,https://web.archive.org/web/20170729071445/https://www.cia.gov/library/publications/the-world-factbook/geos/et.html,29.6,2007,"[{""name"":""Oromo"",""percent"":33.8,""note"":""official working language in the State of Oromiya""},{""name"":""Amharic"",""percent"":29.3,""note"":""official national language""},{""name"":""Somali"",""percent"":6.2,""note"":""official working language of the State of Sumale""},{""name"":""Tigrigna"",""percent"":5.9,""note"":""Tigrinya; official working language of the State of Tigray""},{""name"":""Sidamo"",""percent"":4},{""name"":""Wolaytta"",""percent"":2.2},{""name"":""Gurage"",""percent"":2},{""name"":""Afar"",""percent"":1.7,""note"":""official working language of the State of Afar""},{""name"":""Hadiyya"",""percent"":1.7},{""name"":""Gamo"",""percent"":1.5},{""name"":""Gedeo"",""percent"":1.3},{""name"":""Opuuo"",""percent"":1.2},{""name"":""Kafa"",""percent"":1.1},{""name"":""other"",""percent"":8.1},{""name"":""English"",""note"":""major foreign language taught in schools""},{""name"":""Arabic""}]",,,,,,49.1,102374044
